type,name,point_id,x_rel_mm,y_rel_mm,robot_x,robot_y,robot_z,rx,ry,rz
dot,eye_left,0,-18.287,24.138,294.45,74.534,197.558,93.898,92.431,-87.752
dot,eye_right,0,17.827,24.138,330.564,74.534,197.558,93.898,92.431,-87.752
path,mouth,0,-37.241,-6.897,275.496,43.499,197.558,93.898,92.431,-87.752
path,mouth,1,-34.483,-8.736,278.254,41.66,197.558,93.898,92.431,-87.752
path,mouth,2,-31.724,-11.034,281.013,39.362,197.558,93.898,92.431,-87.752
path,mouth,3,-28.966,-15.632,283.771,34.764,197.558,93.898,92.431,-87.752
path,mouth,4,-26.207,-19.31,286.53,31.086,197.558,93.898,92.431,-87.752
path,mouth,5,-23.448,-22.069,289.289,28.327,197.558,93.898,92.431,-87.752
path,mouth,6,-20.69,-24.368,292.047,26.028,197.558,93.898,92.431,-87.752
path,mouth,7,-17.931,-25.747,294.806,24.649,197.558,93.898,92.431,-87.752
path,mouth,8,-15.172,-27.126,297.565,23.27,197.558,93.898,92.431,-87.752
path,mouth,9,-12.414,-28.506,300.323,21.89,197.558,93.898,92.431,-87.752
path,mouth,10,-9.655,-28.966,303.082,21.43,197.558,93.898,92.431,-87.752
path,mouth,11,-6.897,-29.425,305.84,20.971,197.558,93.898,92.431,-87.752
path,mouth,12,-4.138,-29.885,308.599,20.511,197.558,93.898,92.431,-87.752
path,mouth,13,-1.379,-29.885,311.358,20.511,197.558,93.898,92.431,-87.752
path,mouth,14,1.379,-29.885,314.116,20.511,197.558,93.898,92.431,-87.752
path,mouth,15,4.138,-29.885,316.875,20.511,197.558,93.898,92.431,-87.752
path,mouth,16,6.897,-29.425,319.634,20.971,197.558,93.898,92.431,-87.752
path,mouth,17,9.655,-28.966,322.392,21.43,197.558,93.898,92.431,-87.752
path,mouth,18,12.414,-28.046,325.151,22.35,197.558,93.898,92.431,-87.752
path,mouth,19,15.172,-27.126,327.909,23.27,197.558,93.898,92.431,-87.752
path,mouth,20,17.931,-25.287,330.668,25.109,197.558,93.898,92.431,-87.752
path,mouth,21,20.69,-23.908,333.427,26.488,197.558,93.898,92.431,-87.752
path,mouth,22,23.448,-21.609,336.185,28.787,197.558,93.898,92.431,-87.752
path,mouth,23,26.207,-18.851,338.944,31.545,197.558,93.898,92.431,-87.752
path,mouth,24,28.966,-15.172,341.703,35.224,197.558,93.898,92.431,-87.752
path,mouth,25,31.724,-11.034,344.461,39.362,197.558,93.898,92.431,-87.752
path,mouth,26,34.483,-8.276,347.22,42.12,197.558,93.898,92.431,-87.752
